,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51773,75.0,Paris,7,7eme circonscription,56,Paris,411.0,1007,211,"20,95",796,"79,05",29,"2,88","3,64",9,"0,89","1,13",758,"75,27","95,23",1,M,MACRON,Emmanuel,701,"69,61","92,48",2,F,LE PEN,Marine,57,"5,66","7,52"
51774,75.0,Paris,7,7eme circonscription,56,Paris,412.0,1208,224,"18,54",984,"81,46",38,"3,15","3,86",13,"1,08","1,32",933,"77,24","94,82",1,M,MACRON,Emmanuel,862,"71,36","92,39",2,F,LE PEN,Marine,71,"5,88","7,61"
51775,75.0,Paris,7,7eme circonscription,56,Paris,413.0,1551,309,"19,92",1242,"80,08",60,"3,87","4,83",18,"1,16","1,45",1164,"75,05","93,72",1,M,MACRON,Emmanuel,1070,"68,99","91,92",2,F,LE PEN,Marine,94,"6,06","8,08"
51776,75.0,Paris,7,7eme circonscription,56,Paris,414.0,1187,253,"21,31",934,"78,69",50,"4,21","5,35",11,"0,93","1,18",873,"73,55","93,47",1,M,MACRON,Emmanuel,821,"69,17","94,04",2,F,LE PEN,Marine,52,"4,38","5,96"
51777,75.0,Paris,7,7eme circonscription,56,Paris,1101.0,1753,346,"19,74",1407,"80,26",64,"3,65","4,55",15,"0,86","1,07",1328,"75,76","94,39",1,M,MACRON,Emmanuel,1251,"71,36","94,2",2,F,LE PEN,Marine,77,"4,39","5,8"
51778,75.0,Paris,7,7eme circonscription,56,Paris,1102.0,1594,297,"18,63",1297,"81,37",69,"4,33","5,32",20,"1,25","1,54",1208,"75,78","93,14",1,M,MACRON,Emmanuel,1124,"70,51","93,05",2,F,LE PEN,Marine,84,"5,27","6,95"
51779,75.0,Paris,7,7eme circonscription,56,Paris,1103.0,1491,332,"22,27",1159,"77,73",71,"4,76","6,13",26,"1,74","2,24",1062,"71,23","91,63",1,M,MACRON,Emmanuel,940,"63,04","88,51",2,F,LE PEN,Marine,122,"8,18","11,49"
51780,75.0,Paris,7,7eme circonscription,56,Paris,1104.0,1642,308,"18,76",1334,"81,24",63,"3,84","4,72",19,"1,16","1,42",1252,"76,25","93,85",1,M,MACRON,Emmanuel,1174,"71,5","93,77",2,F,LE PEN,Marine,78,"4,75","6,23"
51781,75.0,Paris,7,7eme circonscription,56,Paris,1105.0,1640,290,"17,68",1350,"82,32",58,"3,54","4,3",22,"1,34","1,63",1270,"77,44","94,07",1,M,MACRON,Emmanuel,1182,"72,07","93,07",2,F,LE PEN,Marine,88,"5,37","6,93"
51782,75.0,Paris,7,7eme circonscription,56,Paris,1106.0,1605,305,19,1300,81,58,"3,61","4,46",12,"0,75","0,92",1230,"76,64","94,62",1,M,MACRON,Emmanuel,1148,"71,53","93,33",2,F,LE PEN,Marine,82,"5,11","6,67"
